business_name,website,has_website,website_status,ssl,load_time,mobile_friendly,audit_summary
"365 SMOKE VAPE SHOP STUEBNER | OPEN 24 HOURS | SMOKE SHOP | E-JUICES | VAPE DISPOSABLES | HOOKAH | CIGARS | HEMP | GLASS PIPE",https://www.365vapeandsmoke.com/,Yes,200,Yes,0.85s,Yes,Issues found: Missing meta description; 6/6 images missing alt text; No Open Graph social meta tags. Load: 0.85s.
"SMOKE SHACK SMOKE,VAPE & HOOKAH SHOP",http://www.bestsmokeshack.com/,Yes,200,No,0.57s,Yes,Issues found: No SSL (HTTP only); Excessive inline styles (56 elements). No SSL. Load: 0.57s.
"Bahama Mama Smoke Shop| Vape Shop | Kratom | Disposables | Tobacco | Hookah | Shisha | Delta | EJuice |",https://www.bahama-mama.com/projects,Yes,404,Yes,1.34s,Yes,Website returns error 404 — site may be broken or misconfigured.
Elevate smoke shop,http://elevateshophouston.com/,Yes,200,No,0.47s,Yes,Issues found: No SSL (HTTP only); 6/6 images missing alt text; Excessive inline styles (31 elements). No SSL. Load: 0.47s.
Willowbrook Smoke Shop VAPE HOOKAH &CIGAR &CBD & Legal THC & Hydroxy & Delta-9 & Kratom & THC-A & MORE,,No,,No,,,No website found — could benefit from a modern online presence.
"EAGLE SMOKE SHOP & TOBACCO | OPEN 24 HOURS",,No,,No,,,No website found — could benefit from a modern online presence.
SMOKERS SPOT Smoke shop & Vape shop,,No,,No,,,No website found — could benefit from a modern online presence.
Bizarre Bazaar by Vape City,https://vapecity.us/,Yes,200,Yes,0.36s,Yes,Issues found: Missing meta description; 10/10 images missing alt text. Load: 0.36s.
Pineapple Xpress Smoke Shop Spring Cypress,https://spring.pine-applexpress.com/,Yes,200,Yes,0.49s,Yes,Issues found: 26/28 images missing alt text. Load: 0.49s.
"Glass Chance Vape,Smoke & Hookah",https://www.instagram.com/glasschancevapeandsmoke?igsh=OHRyZHQ0amowNDFh&utm_source=qr,Yes,200,Yes,0.89s,Yes,Issues found: Missing meta description; 2/2 images missing alt text; No semantic HTML5 landmarks (header/nav/main) (+1 more). Load: 0.89s.
Phoenix Rising Vapor 1 (Smoke/Disposables/Delta/CBD/Hookah),https://phoenixrisingvapor.format.com/,Yes,200,Yes,0.53s,Yes,Issues found: 5/5 images missing alt text. Load: 0.53s.
ROCK N' ROLL IT - SMOKE - VAPE - HEMP - THEISS MAIL,https://rocknrollit.com/,Yes,200,Yes,0.31s,Yes,Issues found: Excessive inline styles (326 elements). Load: 0.31s.
Bahama Mama Smoke Shop - Cypresswood,http://www.bahama-mama.com/,Yes,200,No,0.74s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 14/14 images missing alt text (+1 more). No SSL. Load: 0.74s.
"Mango Island Smoke Shop | Vapes | Tobacco | CBD | Delta THC | Kratom | Disposables | Hookah | Novelties | Dispensary",,No,,No,,,No website found — could benefit from a modern online presence.
"SMOKE ISLAND - BAMMEL Dispensary | Smoke shop | Daiquiri",https://myvapeisland.com/,Yes,200,Yes,0.17s,Yes,Issues found: Missing meta description. Load: 0.17s.
Yoyos Smoke Shop LLC,https://yoyosshops.com/,Yes,Error,Yes,,Yes,Website is unreachable — visitors cannot access the site.
Pineapple Xpress Smoke Shop FM-1960 RD,http://xpress.pine-applexpress.com/,Yes,200,No,0.40s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 26/28 images missing alt text (+1 more). No SSL. Load: 0.40s.
Smoke Puff & Daiquiri To-Go,https://smoke-puff.com/,Yes,200,Yes,0.37s,Yes,Website loads successfully in 0.37s with SSL and appears well-optimised.
"In The Clouds - Spring Cypress CBD, Tobacco, Hookah, Cigars, Kratom & Disposable Vape Shop",https://in-the-clouds.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,Yes,200,Yes,2.05s,Yes,Issues found: Moderate load time (2.05s); 16/19 images missing alt text. Load: 2.05s.
"Champion Smoke shop & Vape | CBD |Kratom | Hookah | Delta8 | Water Pipe & more",,No,,No,,,No website found — could benefit from a modern online presence.
