"business_name","address","phone","website","rating","review_count","google_maps_url"
"365 SMOKE VAPE SHOP STUEBNER | OPEN 24 HOURS | SMOKE SHOP | E-JUICES | VAPE DISPOSABLES | HOOKAH | CIGARS | HEMP | GLASS PIPE","16000 Stuebner Airline Rd Suite B, Spring, TX 77379","(832) 843-3703","https://www.365vapeandsmoke.com/","5.0","10","https://www.google.com/maps/place/365+SMOKE+VAPE+SHOP+STUEBNER+%7C+OPEN+24+HOURS+%7C+SMOKE+SHOP+%7C+E-JUICES+%7C+VAPE+DISPOSABLES+%7C+HOOKAH+%7C+CIGARS+%7C+HEMP+%7C+GLASS+PIPE/data=!4m7!3m6!1s0x8640cd6b667acbb7:0xb0549683f05a0a34!8m2!3d30.0119834!4d-95.5147512!16s%2Fg%2F11yxhk80gg!19sChIJt8t6ZmvNQIYRNApa8IOWVLA"
"SMOKE SHACK SMOKE,VAPE & HOOKAH SHOP","7110 Louetta Rd Suite D, Spring, TX 77379","(281) 257-9927","http://www.bestsmokeshack.com/","4.8","135","https://www.google.com/maps/place/SMOKE+SHACK+SMOKE,VAPE+%26+HOOKAH+SHOP/data=!4m7!3m6!1s0x8640cd205e63739f:0xcd0e95a532f61dfc!8m2!3d30.02286!4d-95.521199!16s%2Fg%2F1tfpk5_4!19sChIJn3NjXiDNQIYR_B32MqWVDs0"
"Bahama Mama Smoke Shop| Vape Shop | Kratom | Disposables | Tobacco | Hookah | Shisha | Delta | EJuice |","16880 Stuebner Airline Rd C, Spring, TX 77379","(832) 534-1743","https://www.bahama-mama.com/projects","4.9","443","https://www.google.com/maps/place/Bahama+Mama+Smoke+Shop%7C+Vape+Shop+%7C+Kratom+%7C+Disposables+%7C+Tobacco+%7C+Hookah+%7C+Shisha+%7C+Delta+%7C+EJuice+%7C/data=!4m7!3m6!1s0x8640cd083cdffb19:0x3708ac61892de3ae!8m2!3d30.022404!4d-95.52508!16s%2Fg%2F11mwl2wb8f!19sChIJGfvfPAjNQIYRruMtiWGsCDc"
"Elevate smoke shop","14919 Stuebner Airline Rd # 6, Houston, TX 77069","(281) 919-1431","http://elevateshophouston.com/","5.0","371","https://www.google.com/maps/place/Elevate+smoke+shop/data=!4m7!3m6!1s0x8640cddff2024273:0xdba84fcb3a62a2d8!8m2!3d29.9990235!4d-95.5069912!16s%2Fg%2F11r_vs9bzc!19sChIJc0IC8t_NQIYR2KJiOstPqNs"
"Willowbrook Smoke Shop VAPE HOOKAH &CIGAR &CBD & Legal THC & Hydroxy & Delta-9 & Kratom & THC-A & MORE","5033 FM 1960 Suit 500, Houston, TX 77069","(281) 836-6008","","5.0","1,628","https://www.google.com/maps/place/Willowbrook+Smoke+Shop+VAPE+HOOKAH+%26CIGAR+%26CBD+%26+Legal+THC+%26+Hydroxy+%26+Delta-9+%26+Kratom+%26+THC-A+%26+MORE/@29.9832068,-95.5057061,17z/data=!3m1!4b1!4m6!3m5!1s0x8640cd1376f16d8b:0x793c2ea8d9908850!8m2!3d29.9832068!4d-95.5057061!16s%2Fg%2F11n0btqw50"
"EAGLE SMOKE SHOP & TOBACCO | OPEN 24 HOURS","4407b Cypress Creek Pkwy, Houston, TX 77068","(470) 494-3608","","5.0","341","https://www.google.com/maps/place/EAGLE+SMOKE+SHOP+%26+TOBACCO+%7C+OPEN+24+HOURS/@29.988724,-95.496144,17z/data=!3m1!4b1!4m6!3m5!1s0x8640cd4d9ac5baaf:0x37e005d79d15ee78!8m2!3d29.988724!4d-95.496144!16s%2Fg%2F11v59ffcjw"
"SMOKERS SPOT Smoke shop & Vape shop","8905 Louetta Rd # J, Spring, TX 77379","(832) 559-8195","","4.9","120","https://www.google.com/maps/place/SMOKERS+SPOT+Smoke+shop+%26+Vape+shop/@30.0081212,-95.545767,17z/data=!3m1!4b1!4m6!3m5!1s0x8640cdd117ff992d:0x6519470cda69a303!8m2!3d30.0081212!4d-95.545767!16s%2Fg%2F11n27dn44f"
"Bizarre Bazaar by Vape City","5177 Farm to Market 1960 Rd W, Houston, TX 77069","(832) 446-3922","https://vapecity.us/","4.7","475","https://www.google.com/maps/place/Bizarre+Bazaar+by+Vape+City/data=!4m7!3m6!1s0x8640cd235121f14d:0x1cff6ee36ea962cb!8m2!3d29.9818594!4d-95.5080286!16s%2Fg%2F11pxnglpy_!19sChIJTfEhUSPNQIYRy2KpbuNu_xw"
"Pineapple Xpress Smoke Shop Spring Cypress","8854 Spring Cypress Rd, Spring, TX 77379","(346) 236-6976","https://spring.pine-applexpress.com/","4.9","378","https://www.google.com/maps/place/Pineapple+Xpress+Smoke+Shop+Spring+Cypress/data=!4m7!3m6!1s0x8640cd23626a0d67:0x6ac3170c6c5fb7cc!8m2!3d30.0312227!4d-95.5575851!16s%2Fg%2F11rdz742gt!19sChIJZw1qYiPNQIYRzLdfbAwXw2o"
"Glass Chance Vape,Smoke & Hookah","9440 Louetta Rd #8, Spring, TX 77379","(832) 698-4232","https://www.instagram.com/glasschancevapeandsmoke?igsh=OHRyZHQ0amowNDFh&utm_source=qr","4.8","271","https://www.google.com/maps/place/Glass+Chance+Vape,Smoke+%26+Hookah/data=!4m7!3m6!1s0x8640cd7b09a61ddf:0xa1438cd804e70650!8m2!3d30.0050633!4d-95.5549103!16s%2Fg%2F11fx9616d2!19sChIJ3x2mCXvNQIYRUAbnBNiMQ6E"
