business_name,website,has_website,website_status,ssl,load_time,mobile_friendly,audit_summary
"365 SMOKE VAPE SHOP STUEBNER | OPEN 24 HOURS | SMOKE SHOP | E-JUICES | VAPE DISPOSABLES | HOOKAH | CIGARS | HEMP | GLASS PIPE",https://www.365vapeandsmoke.com/,Yes,200,Yes,1.11s,Yes,Issues found: Missing meta description; 6/6 images missing alt text; No Open Graph social meta tags. Load: 1.11s.
Elevate smoke shop,http://elevateshophouston.com/,Yes,200,No,0.73s,Yes,Issues found: No SSL (HTTP only); 6/6 images missing alt text; Excessive inline styles (31 elements). No SSL. Load: 0.73s.
"EAGLE SMOKE SHOP & TOBACCO | OPEN 24 HOURS",,No,,No,,,No website found — could benefit from a modern online presence.
Bizarre Bazaar by Vape City,https://vapecity.us/,Yes,200,Yes,0.35s,Yes,Issues found: Missing meta description; 10/10 images missing alt text. Load: 0.35s.
Pineapple Xpress Smoke Shop Spring Cypress,https://spring.pine-applexpress.com/,Yes,200,Yes,0.53s,Yes,Issues found: 26/28 images missing alt text. Load: 0.53s.
Pineapple Xpress Smoke Shop FM-1960 RD,http://xpress.pine-applexpress.com/,Yes,200,No,0.76s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 26/28 images missing alt text (+1 more). No SSL. Load: 0.76s.
Willowbrook Smoke Shop VAPE HOOKAH &CIGAR &CBD & Legal THC & Hydroxy & Delta-9 & Kratom & THC-A & MORE,,No,,No,,,No website found — could benefit from a modern online presence.
Phoenix Rising Vapor 1 (Smoke/Disposables/Delta/CBD/Hookah),https://phoenixrisingvapor.format.com/,Yes,200,Yes,0.67s,Yes,Issues found: 5/5 images missing alt text. Load: 0.67s.
"SMOKE ISLAND - BAMMEL Dispensary | Smoke shop | Daiquiri",https://myvapeisland.com/,Yes,200,Yes,0.79s,Yes,Issues found: Missing meta description. Load: 0.79s.
Yoyos Smoke Shop LLC,https://yoyosshops.com/,Yes,Error,Yes,,Yes,Website is unreachable — visitors cannot access the site.
