"business_name","address","phone","website","rating","review_count","google_maps_url"
"365 SMOKE VAPE SHOP STUEBNER | OPEN 24 HOURS | SMOKE SHOP | E-JUICES | VAPE DISPOSABLES | HOOKAH | CIGARS | HEMP | GLASS PIPE","16000 Stuebner Airline Rd Suite B, Spring, TX 77379","(832) 843-3703","https://www.365vapeandsmoke.com/","5.0","10","https://www.google.com/maps/place/365+SMOKE+VAPE+SHOP+STUEBNER+%7C+OPEN+24+HOURS+%7C+SMOKE+SHOP+%7C+E-JUICES+%7C+VAPE+DISPOSABLES+%7C+HOOKAH+%7C+CIGARS+%7C+HEMP+%7C+GLASS+PIPE/data=!4m7!3m6!1s0x8640cd6b667acbb7:0xb0549683f05a0a34!8m2!3d30.0119834!4d-95.5147512!16s%2Fg%2F11yxhk80gg!19sChIJt8t6ZmvNQIYRNApa8IOWVLA"
"Elevate smoke shop","14919 Stuebner Airline Rd # 6, Houston, TX 77069","(281) 919-1431","http://elevateshophouston.com/","5.0","371","https://www.google.com/maps/place/Elevate+smoke+shop/data=!4m7!3m6!1s0x8640cddff2024273:0xdba84fcb3a62a2d8!8m2!3d29.9990235!4d-95.5069912!16s%2Fg%2F11r_vs9bzc!19sChIJc0IC8t_NQIYR2KJiOstPqNs"
"EAGLE SMOKE SHOP & TOBACCO | OPEN 24 HOURS","4407b Cypress Creek Pkwy, Houston, TX 77068","(470) 494-3608","","5.0","341","https://www.google.com/maps/place/EAGLE+SMOKE+SHOP+%26+TOBACCO+%7C+OPEN+24+HOURS/@29.988724,-95.496144,17z/data=!3m1!4b1!4m6!3m5!1s0x8640cd4d9ac5baaf:0x37e005d79d15ee78!8m2!3d29.988724!4d-95.496144!16s%2Fg%2F11v59ffcjw"
"Bizarre Bazaar by Vape City","5177 Farm to Market 1960 Rd W, Houston, TX 77069","(832) 446-3922","https://vapecity.us/","4.7","475","https://www.google.com/maps/place/Bizarre+Bazaar+by+Vape+City/data=!4m7!3m6!1s0x8640cd235121f14d:0x1cff6ee36ea962cb!8m2!3d29.9818594!4d-95.5080286!16s%2Fg%2F11pxnglpy_!19sChIJTfEhUSPNQIYRy2KpbuNu_xw"
"Pineapple Xpress Smoke Shop Spring Cypress","8854 Spring Cypress Rd, Spring, TX 77379","(346) 236-6976","https://spring.pine-applexpress.com/","4.9","378","https://www.google.com/maps/place/Pineapple+Xpress+Smoke+Shop+Spring+Cypress/data=!4m7!3m6!1s0x8640cd23626a0d67:0x6ac3170c6c5fb7cc!8m2!3d30.0312227!4d-95.5575851!16s%2Fg%2F11rdz742gt!19sChIJZw1qYiPNQIYRzLdfbAwXw2o"
"Pineapple Xpress Smoke Shop FM-1960 RD","9581 FM 1960, Houston, TX 77064","(281) 955-5367","http://xpress.pine-applexpress.com/","4.8","1,138","https://www.google.com/maps/place/Pineapple+Xpress+Smoke+Shop+FM-1960+RD/data=!4m7!3m6!1s0x8640d1fbe739e691:0x9fb78a7e7bf20ca4!8m2!3d29.942403!4d-95.568537!16s%2Fg%2F12hng324b!19sChIJkeY55_vRQIYRpAzye36Kt58"
"Willowbrook Smoke Shop VAPE HOOKAH &CIGAR &CBD & Legal THC & Hydroxy & Delta-9 & Kratom & THC-A & MORE","5033 FM 1960 Suit 500, Houston, TX 77069","(281) 836-6008","","5.0","1,628","https://www.google.com/maps/place/Willowbrook+Smoke+Shop+VAPE+HOOKAH+%26CIGAR+%26CBD+%26+Legal+THC+%26+Hydroxy+%26+Delta-9+%26+Kratom+%26+THC-A+%26+MORE/@29.9832068,-95.5057061,17z/data=!3m1!4b1!4m6!3m5!1s0x8640cd1376f16d8b:0x793c2ea8d9908850!8m2!3d29.9832068!4d-95.5057061!16s%2Fg%2F11n0btqw50"
"Phoenix Rising Vapor 1 (Smoke/Disposables/Delta/CBD/Hookah)","5020 Farm to Market 1960 Rd W Ste A7, Houston, TX 77069","(281) 763-7378","https://phoenixrisingvapor.format.com/","4.9","690","https://www.google.com/maps/place/Phoenix+Rising+Vapor+1+%28Smoke%2FDisposables%2FDelta%2FCBD%2FHookah%29/data=!4m7!3m6!1s0x8640cc44e314d47d:0xe854244348a67e39!8m2!3d29.983957!4d-95.5066857!16s%2Fg%2F11b5qw1s8s!19sChIJfdQU40TMQIYROX6mSEMkVOg"
"SMOKE ISLAND - BAMMEL Dispensary | Smoke shop | Daiquiri","12311 Bammel North Houston Rd Suite E, Houston, TX 77066","(346) 899-8285","https://myvapeisland.com/","5.0","61","https://www.google.com/maps/place/SMOKE+ISLAND+-+BAMMEL+Dispensary+%7C+Smoke+shop+%7C+Daiquiri/data=!4m7!3m6!1s0x8640cd6443e73601:0xada588a0360329e1!8m2!3d29.9571722!4d-95.4987574!16s%2Fg%2F11m_6z7qbb!19sChIJATbnQ2TNQIYR4SkDNqCIpa0"
"Yoyos Smoke Shop LLC","13920 Mandolin Dr, Houston, TX 77070","(713) 788-9794","https://yoyosshops.com/","5.0","4","https://www.google.com/maps/place/Yoyos+Smoke+Shop+LLC/data=!4m7!3m6!1s0x8640d3422f6dac8f:0x17e8ed3085da115f!8m2!3d29.978335!4d-95.5682768!16s%2Fg%2F11z0nrx_6m!19sChIJj6xtL0LTQIYRXxHahTDt6Bc"
