business_name,website,has_website,website_status,ssl,load_time,mobile_friendly,audit_summary
"365 SMOKE VAPE SHOP STUEBNER | OPEN 24 HOURS | SMOKE SHOP | E-JUICES | VAPE DISPOSABLES | HOOKAH | CIGARS | HEMP | GLASS PIPE",https://www.365vapeandsmoke.com/,Yes,200,Yes,0.91s,Yes,Issues found: Missing meta description; 6/6 images missing alt text; No Open Graph social meta tags. Load: 0.91s.
SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM &7OH & THC & HOOKAH & CIGARS & GLASS PIPES & CBD,https://jssmokeshop.odoo.com/,Yes,404,Yes,0.39s,No,Website returns error 404 — site may be broken or misconfigured.
"LOUETTA SMOKE VAPE CBD | SMOKE SHOP | 7OH | E‑JUICE | DISPOSABLE | DELTA 8 | THCA | KRATOM | GLASS PIPES | HEMP | GUMMIES |",,No,,No,,,No website found — could benefit from a modern online presence.
Pineapple Xpress Smoke Shop Spring Cypress,https://spring.pine-applexpress.com/,Yes,200,Yes,2.46s,Yes,Issues found: Moderate load time (2.46s); 26/28 images missing alt text. Load: 2.46s.
Smoke N More Smoke shop & Vape shop,https://www.facebook.com/profile.php?id=61568664434822,Yes,400,Yes,0.60s,Yes,Website returns error 400 — site may be broken or misconfigured.
"SMOKE SHACK SMOKE,VAPE & HOOKAH SHOP",http://www.bestsmokeshack.com/,Yes,200,No,0.54s,Yes,Issues found: No SSL (HTTP only); Excessive inline styles (56 elements). No SSL. Load: 0.54s.
SMOKE INN 2 - The Best Drive Thru Smoke Shop of Spring TX,http://www.smokeinn.us/,Yes,200,No,0.92s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 4/4 images missing alt text (+1 more). No SSL. Load: 0.92s.
"Bahama Mama Smoke Shop| Vape Shop | Kratom | Disposables | Tobacco | Hookah | Shisha | Delta | EJuice |",https://www.bahama-mama.com/projects,Yes,404,Yes,0.80s,Yes,Website returns error 404 — site may be broken or misconfigured.
"Smoke N Cell 5 (Smoke shop, Delta 8, Vape Outlet, Phone Repair & More)",,No,,No,,,No website found — could benefit from a modern online presence.
"Puffzilla Smoke Shop | CBD | VAPE | KRATOM | DELTA THC | HOOKAH | GLASS PIPES | CIGARS",,No,,No,,,No website found — could benefit from a modern online presence.
"Champion Smoke shop & Vape | CBD |Kratom | Hookah | Delta8 | Water Pipe & more",,No,,No,,,No website found — could benefit from a modern online presence.
"GF SMOKE SHOP LOUETTA / KUYKENDAHL VAPES | CBD | TOBACCO | DELTA THC | KRATOM | SCALES | GRINDERS | OPEN 24 HRS",,No,,No,,,No website found — could benefit from a modern online presence.
"In The Clouds - Spring Cypress CBD, Tobacco, Hookah, Cigars, Kratom & Disposable Vape Shop",https://in-the-clouds.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,Yes,200,Yes,0.93s,Yes,Issues found: 16/19 images missing alt text. Load: 0.93s.
FRONTO Smoke Shop,https://www.leafly.com/cbd-store/fronto-smoke-shop,Yes,200,Yes,2.10s,Yes,Issues found: Moderate load time (2.1s); Excessive inline styles (221 elements). Load: 2.10s.
SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM & THC & HOOKAH & CIGARS & GLASS PIPES & CBD,,No,,No,,,No website found — could benefit from a modern online presence.
World Peace Smoke Shop,https://www.facebook.com/pages/World-Peace-Smoke-Shop/1500150790259346,Yes,400,Yes,0.27s,Yes,Website returns error 400 — site may be broken or misconfigured.
Wild Side Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
"BABA Smoke Shop, Vape Shop, THCA ,CBD , Hookah, Kratom,7ohmz, Kava, Premium Cigars,Tattoo supply",https://sites.google.com/view/baba-smoke-shop/about-us,Yes,200,Yes,0.40s,Yes,Issues found: Missing meta description; 6/6 images missing alt text; Excessive inline styles (395 elements). Load: 0.40s.
Blazin' Bad - VAPE & SMOKE,https://www.blazinbad.com/,Yes,200,Yes,0.32s,Yes,Website loads successfully in 0.32s with SSL and appears well-optimised.
Papa Smoke Spring,,No,,No,,,No website found — could benefit from a modern online presence.
Exotic Gardens,,No,,No,,,No website found — could benefit from a modern online presence.
King's Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
HIGH END SMOKE SHOP,,No,,No,,,No website found — could benefit from a modern online presence.
Puff puff smoke & vape,,No,,No,,,No website found — could benefit from a modern online presence.
"Bahama Mama Smoke Shop Rayford | Vapes | Tobacco | CBD | Delta THC | Kratom | Disposables | Hookah | Novelties",,No,,No,,,No website found — could benefit from a modern online presence.
Cypresswood CBD SMOKE VAPE DELTA8 THC-O DELTA10 DISPOSABLE KRATOM HOOKAH JUICES HAND PIPE,,No,,No,,,No website found — could benefit from a modern online presence.
Spring Wellness Smoke • Vape • CBD • & Daiquiri - 24/7,https://www.instagram.com/springwellnesstx/,Yes,200,Yes,0.42s,Yes,Issues found: Missing meta description; 2/2 images missing alt text; No semantic HTML5 landmarks (header/nav/main) (+1 more). Load: 0.42s.
Smoke Shack,,No,,No,,,No website found — could benefit from a modern online presence.
"Bahama Mama Smoke Shop 45 North | Vapes | Tobacco | CBD | Delta THC | Kratom | Disposables | Hookah | Novelties",,No,,No,,,No website found — could benefit from a modern online presence.
"Cloudopa Smoke Shop | Vape | CBD | Kratom | & Essentials",http://cloudopa.com/,Yes,Error,No,,Yes,Website is unreachable — visitors cannot access the site.
"Mad Dog Smoke Shop 1960 Vape,Hookah,Cigars,Glass Shop",,No,,No,,,No website found — could benefit from a modern online presence.
