"business_name","address","phone","website","rating","review_count","google_maps_url"
"365 SMOKE VAPE SHOP STUEBNER | OPEN 24 HOURS | SMOKE SHOP | E-JUICES | VAPE DISPOSABLES | HOOKAH | CIGARS | HEMP | GLASS PIPE","16000 Stuebner Airline Rd Suite B, Spring, TX 77379","(832) 843-3703","https://www.365vapeandsmoke.com/","5.0","10","https://www.google.com/maps/place/365+SMOKE+VAPE+SHOP+STUEBNER+%7C+OPEN+24+HOURS+%7C+SMOKE+SHOP+%7C+E-JUICES+%7C+VAPE+DISPOSABLES+%7C+HOOKAH+%7C+CIGARS+%7C+HEMP+%7C+GLASS+PIPE/data=!4m7!3m6!1s0x8640cd6b667acbb7:0xb0549683f05a0a34!8m2!3d30.0119834!4d-95.5147512!16s%2Fg%2F11yxhk80gg!19sChIJt8t6ZmvNQIYRNApa8IOWVLA"
"SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM &7OH & THC & HOOKAH & CIGARS & GLASS PIPES & CBD","19380 North Fwy Suite 120, Spring, TX 77373","(518) 961-7393","https://jssmokeshop.odoo.com/","5.0","406","https://www.google.com/maps/place/SUPREME+SMOKE+OPEN+24+HOURS+%26+VAPE+%26+KRATOM+%267OH+%26+THC+%26+HOOKAH+%26+CIGARS+%26+GLASS+PIPES+%26+CBD/data=!4m7!3m6!1s0x86473577a0bab573:0xaa65d4568c458598!8m2!3d30.0494444!4d-95.4289366!16s%2Fg%2F11sc2x55yd!19sChIJc7W6oHc1R4YRmIVFjFbUZao"
"LOUETTA SMOKE VAPE CBD | SMOKE SHOP | 7OH | E‑JUICE | DISPOSABLE | DELTA 8 | THCA | KRATOM | GLASS PIPES | HEMP | GUMMIES |","727 E Louetta Rd Suite 115, Spring, TX 77373","(417) 771-8677","","5.0","63","https://www.google.com/maps/place/LOUETTA+SMOKE+VAPE+CBD+%7C+SMOKE+SHOP+%7C+7OH+%7C+E%E2%80%91JUICE+%7C+DISPOSABLE+%7C+DELTA+8+%7C+THCA+%7C+KRATOM+%7C+GLASS+PIPES+%7C+HEMP+%7C+GUMMIES+%7C/@30.072315,-95.4245134,17z/data=!3m1!4b1!4m6!3m5!1s0x864735d67e584bcb:0x3061310308440ac!8m2!3d30.072315!4d-95.4245134!16s%2Fg%2F11ymz2xpwn"
"Pineapple Xpress Smoke Shop Spring Cypress","8854 Spring Cypress Rd, Spring, TX 77379","(346) 236-6976","https://spring.pine-applexpress.com/","4.9","378","https://www.google.com/maps/place/Pineapple+Xpress+Smoke+Shop+Spring+Cypress/data=!4m7!3m6!1s0x8640cd23626a0d67:0x6ac3170c6c5fb7cc!8m2!3d30.0312227!4d-95.5575851!16s%2Fg%2F11rdz742gt!19sChIJZw1qYiPNQIYRzLdfbAwXw2o"
"Smoke N More Smoke shop & Vape shop","1412 Spring Cypress Rd, Spring, TX 77373","(281) 288-5007","https://www.facebook.com/profile.php?id=61568664434822","4.6","264","https://www.google.com/maps/place/Smoke+N+More+Smoke+shop+%26+Vape+shop/data=!4m7!3m6!1s0x8647351dd4d87dc1:0x8508476f3a01f31d!8m2!3d30.0764422!4d-95.4336018!16s%2Fg%2F1vl9rww8!19sChIJwX3Y1B01R4YRHfMBOm9HCIU"
"SMOKE SHACK SMOKE,VAPE & HOOKAH SHOP","7110 Louetta Rd Suite D, Spring, TX 77379","(281) 257-9927","http://www.bestsmokeshack.com/","4.8","135","https://www.google.com/maps/place/SMOKE+SHACK+SMOKE,VAPE+%26+HOOKAH+SHOP/data=!4m7!3m6!1s0x8640cd205e63739f:0xcd0e95a532f61dfc!8m2!3d30.02286!4d-95.521199!16s%2Fg%2F1tfpk5_4!19sChIJn3NjXiDNQIYR_B32MqWVDs0"
"SMOKE INN 2 - The Best Drive Thru Smoke Shop of Spring TX","4740 Spring Cypress Rd G, Spring, TX 77379","(281) 256-5205","http://www.smokeinn.us/","4.9","43","https://www.google.com/maps/place/SMOKE+INN+2+-+The+Best+Drive+Thru+Smoke+Shop+of+Spring+TX/data=!4m7!3m6!1s0x86473360adea86e1:0xf164f1eebab7a94!8m2!3d30.0507354!4d-95.4948636!16s%2Fg%2F11vx480lv1!19sChIJ4YbqrWAzR4YRlHqr6x5PFg8"
"Bahama Mama Smoke Shop| Vape Shop | Kratom | Disposables | Tobacco | Hookah | Shisha | Delta | EJuice |","16880 Stuebner Airline Rd C, Spring, TX 77379","(832) 534-1743","https://www.bahama-mama.com/projects","4.9","443","https://www.google.com/maps/place/Bahama+Mama+Smoke+Shop%7C+Vape+Shop+%7C+Kratom+%7C+Disposables+%7C+Tobacco+%7C+Hookah+%7C+Shisha+%7C+Delta+%7C+EJuice+%7C/data=!4m7!3m6!1s0x8640cd083cdffb19:0x3708ac61892de3ae!8m2!3d30.022404!4d-95.52508!16s%2Fg%2F11mwl2wb8f!19sChIJGfvfPAjNQIYRruMtiWGsCDc"
"Smoke N Cell 5 (Smoke shop, Delta 8, Vape Outlet, Phone Repair & More)","3910 Louetta Rd suite E, Spring, TX 77388","(832) 288-5140","","5.0","312","https://www.google.com/maps/place/Smoke+N+Cell+5+(Smoke+shop,+Delta+8,+Vape+Outlet,+Phone+Repair+%26+More)/@30.0483446,-95.4753645,17z/data=!3m1!4b1!4m6!3m5!1s0x8640cf241828e1ef:0x4aef5e056ff291e7!8m2!3d30.0483446!4d-95.4753645!16s%2Fg%2F11mbyc92tf"
"Puffzilla Smoke Shop | CBD | VAPE | KRATOM | DELTA THC | HOOKAH | GLASS PIPES | CIGARS","810 E Louetta Rd Suite # 4, Spring, TX 77373","(832) 403-4886","","4.9","186","https://www.google.com/maps/place/Puffzilla+Smoke+Shop+%7C+CBD+%7C+VAPE+%7C+KRATOM+%7C+DELTA+THC+%7C+HOOKAH+%7C+GLASS+PIPES+%7C+CIGARS/@30.0715574,-95.4220547,17z/data=!3m1!4b1!4m6!3m5!1s0x864735b120e6b8cf:0x738d0747a770ea9a!8m2!3d30.0715574!4d-95.4220547!16s%2Fg%2F11snnhwv66"
