business_name,address,phone,email,website,rating,review_count,google_maps_url,image_url,place_id,has_website,speed_ms,has_title,has_meta_desc,has_h1,score,issues
Smoke ATX,"2300 S Lamar Blvd #101, Austin, TX 78704",(512) 464-1272,,http://www.smokeatx.com/,4.6,491,https://www.google.com/maps/search/?api=1&query=Smoke%20ATX&query_place_id=ChIJzRMpfde0RIYRSpVGhASuEmQ,,ChIJzRMpfde0RIYRSpVGhASuEmQ,true,,,,,,
Austin Vape and Smoke,"4526 West Gate Blvd Suite C, Austin, TX 78745",(512) 551-0420,,,4.8,276,https://www.google.com/maps/search/?api=1&query=Austin%20Vape%20and%20Smoke&query_place_id=ChIJwxINSTlLW4YRorWF2PYkRmk,,ChIJwxINSTlLW4YRorWF2PYkRmk,false,,,,,,
Cali Vibes Smoke Shop,"1302 Houston Ave Suite 200, Houston, TX 77007",(832) 834-3943,,http://calivibessmokeshop.com/,4.8,299,https://www.google.com/maps/search/?api=1&query=Cali%20Vibes%20Smoke%20Shop&query_place_id=ChIJvUoUrkS_QIYRCVBUin8jlQA,,ChIJvUoUrkS_QIYRCVBUin8jlQA,true,,,,,,
HTown Smoke shop 3,"318 Shepherd Dr, Houston, TX 77007",(713) 485-4656,,,4.9,514,https://www.google.com/maps/search/?api=1&query=HTown%20Smoke%20shop%203&query_place_id=ChIJf2RFwbTBQIYROjaqbXsnPOg,,ChIJf2RFwbTBQIYROjaqbXsnPOg,false,,,,,,
Smoke Box Smoke Shop + Dispensary,"2204 Louisiana St E, Houston, TX 77002",(713) 281-3614,,,5,701,https://www.google.com/maps/search/?api=1&query=Smoke%20Box%20Smoke%20Shop%20%2B%20Dispensary&query_place_id=ChIJlz5fw4e_QIYR3XHdQ-XON4Y,,ChIJlz5fw4e_QIYR3XHdQ-XON4Y,false,,,,,,
420 Smoke Shop,"477 W Parker Rd, Houston, TX 77091",,,,4.8,71,https://www.google.com/maps/search/?api=1&query=420%20Smoke%20Shop&query_place_id=ChIJbR9AwvTHQIYR1IOQ9FvCeiI,,ChIJbR9AwvTHQIYR1IOQ9FvCeiI,false,,,,,,
"Smoke Box Smoke Shop & DISPENSARY $5 GRAM WEED | WE DELIVER | SLAPWOODS | Looseleaf | THCA | OLIT HOOKALIT | Breeze Vape","4816 Martin Luther King Blvd, Houston, TX 77021",(832) 696-9152,,,5,829,https://www.google.com/maps/search/?api=1&query=Smoke%20Box%20Smoke%20Shop%20%26%20DISPENSARY%20%245%20GRAM%20WEED%20%7C%20WE%20DELIVER%20%7C%20SLAPWOODS%20%7C%20Looseleaf%20%7C%20THCA%20%7C%20OLIT%20HOOKALIT%20%7C%20Breeze%20Vape&query_place_id=ChIJuRPA3Qm_QIYRxvhDlqeQwqc,,ChIJuRPA3Qm_QIYRxvhDlqeQwqc,false,,,,,,
HTown Smoke Shop,"722 W 19th St SUITE B, Houston, TX 77008",(281) 888-6328,,,4.9,634,https://www.google.com/maps/search/?api=1&query=HTown%20Smoke%20Shop&query_place_id=ChIJz6dCfArHQIYRIlZiL3l3lW8,,ChIJz6dCfArHQIYRIlZiL3l3lW8,false,,,,,,
Smoke Envy Heights / Better Days CBD,"2524 Yale St #2, Houston, TX 77008",(832) 744-9944,,,4.8,210,https://www.google.com/maps/search/?api=1&query=Smoke%20Envy%20Heights%20%2F%20Better%20Days%20CBD&query_place_id=ChIJi_a0dXzHQIYRRATPGJW1nTA,,ChIJi_a0dXzHQIYRRATPGJW1nTA,false,,,,,,
HTown Smoke shop,"6603 Kirby Dr Suite A, Houston, TX 77005",(281) 767-7005,,,4.9,619,https://www.google.com/maps/search/?api=1&query=HTown%20Smoke%20shop&query_place_id=ChIJQYeDMB_BQIYRJngDoSuptrQ,,ChIJQYeDMB_BQIYRJngDoSuptrQ,false,,,,,,
